Expression	Period
2.01178936986899	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
2.30510898111946	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
2.26430227536865	E38#Myonuclei
0	E38#Myonuclei
1.77122486678635	E38#Myonuclei
0	E38#Myonuclei
2.47348003512333	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
1.91567268303802	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
2.82770885777391	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
1.85486502345797	E38#Myonuclei
0	E38#Myonuclei
1.72424673944707	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
2.20007408950475	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
1.47329873057291	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
1.66547124153566	E38#Myonuclei
0	E38#Myonuclei
1.26686859497232	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
1.06910704275828	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
2.64509077637285	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
1.89987343908586	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
1.39134050249977	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
2.26160186449607	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
2.56902054712074	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
1.30219950096246	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
2.83522345811601	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
1.21066414818656	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
2.67654936846413	E38#Myonuclei
1.57971339318672	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
1.12862209406096	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
0	E38#Myonuclei
3.12356781779373	E80#Myonuclei
2.13435161104235	E80#Myonuclei
1.51565409822438	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
2.18873646271341	E80#Myonuclei
2.74444903630255	E80#Myonuclei
2.4097979952674	E80#Myonuclei
0	E80#Myonuclei
4.05034895067401	E80#Myonuclei
0	E80#Myonuclei
3.36228859756982	E80#Myonuclei
2.29141179239592	E80#Myonuclei
2.19155582876359	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
2.50026168277011	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
2.54235776083478	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
4.31648402537908	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
1.34971511480258	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
2.41720799370422	E80#Myonuclei
2.19864806512107	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
2.72159442620997	E80#Myonuclei
0	E80#Myonuclei
2.58891156723466	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
1.98695148479768	E80#Myonuclei
3.33577922051775	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
1.86217722080732	E80#Myonuclei
2.81946613938145	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
3.07947066531151	E80#Myonuclei
1.74773507627559	E80#Myonuclei
2.29381232166487	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
0	E80#Myonuclei
2.68266252412226	E80#Myonuclei
0	E80#Myonuclei
2.48746700045504	PN0#Myonuclei
2.19829195568973	PN0#Myonuclei
0	PN0#Myonuclei
1.70427779747763	PN0#Myonuclei
2.90597697897273	PN0#Myonuclei
3.53870925519803	PN0#Myonuclei
1.80140759977689	PN0#Myonuclei
1.80458204417422	PN0#Myonuclei
3.03788010177712	PN0#Myonuclei
0	PN0#Myonuclei
2.42468423852617	PN0#Myonuclei
2.7235872368112	PN0#Myonuclei
2.24659318467483	PN0#Myonuclei
2.38146752139012	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.14737932352291	PN0#Myonuclei
2.48684915531243	PN0#Myonuclei
1.96619578950267	PN0#Myonuclei
1.8099041925235	PN0#Myonuclei
1.31005024831488	PN0#Myonuclei
1.93569439619371	PN0#Myonuclei
2.6302069785299	PN0#Myonuclei
2.0897824218066	PN0#Myonuclei
2.77188587725064	PN0#Myonuclei
1.38569466095199	PN0#Myonuclei
2.8103203750514	PN0#Myonuclei
2.34797132897983	PN0#Myonuclei
1.13783028387985	PN0#Myonuclei
1.37500152194055	PN0#Myonuclei
2.5291548573962	PN0#Myonuclei
2.79140382539084	PN0#Myonuclei
0	PN0#Myonuclei
2.68372086267286	PN0#Myonuclei
1.94471110814427	PN0#Myonuclei
1.83556961857798	PN0#Myonuclei
2.40749578541471	PN0#Myonuclei
0	PN0#Myonuclei
2.57872086011922	PN0#Myonuclei
3.05178949462268	PN0#Myonuclei
1.61943235365141	PN0#Myonuclei
2.65272155719082	PN0#Myonuclei
1.37943378238381	PN0#Myonuclei
1.48454776975479	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
1.71821436207196	PN0#Myonuclei
2.33954026797069	PN0#Myonuclei
2.00397489044703	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.57087749634893	PN0#Myonuclei
1.72690240966538	PN0#Myonuclei
2.32401285607585	PN0#Myonuclei
0	PN0#Myonuclei
1.63023814234886	PN0#Myonuclei
1.43654912347323	PN0#Myonuclei
0	PN0#Myonuclei
2.04621361751363	PN0#Myonuclei
1.95975120046718	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.44271233217692	PN0#Myonuclei
1.78182890102545	PN0#Myonuclei
2.52157578583493	PN0#Myonuclei
0	PN0#Myonuclei
2.37517789221652	PN0#Myonuclei
3.04261966862113	PN0#Myonuclei
2.96262129824963	PN0#Myonuclei
1.99899325293938	PN0#Myonuclei
2.67089611035532	PN0#Myonuclei
2.58191603390409	PN0#Myonuclei
3.38570508622748	PN0#Myonuclei
2.03630243545912	PN0#Myonuclei
2.63092419790698	PN0#Myonuclei
2.26507547442707	PN0#Myonuclei
2.00787212911214	PN0#Myonuclei
3.48878178667972	PN0#Myonuclei
2.55704744654248	PN0#Myonuclei
2.04797595982601	PN0#Myonuclei
1.42277444949045	PN0#Myonuclei
0	PN0#Myonuclei
2.27951397209273	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.36201405900932	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.5092938497992	PN0#Myonuclei
2.53644472708947	PN0#Myonuclei
2.56698253592636	PN0#Myonuclei
1.79447294852767	PN0#Myonuclei
1.89601581014423	PN0#Myonuclei
0	PN0#Myonuclei
1.7500884590359	PN0#Myonuclei
0	PN0#Myonuclei
2.24369989723731	PN0#Myonuclei
2.05744367384084	PN0#Myonuclei
2.6029211980096	PN0#Myonuclei
2.36535830870543	PN0#Myonuclei
1.83159513585076	PN0#Myonuclei
0	PN0#Myonuclei
2.04017398379786	PN0#Myonuclei
3.6823813897709	PN0#Myonuclei
0	PN0#Myonuclei
2.99558028632063	PN0#Myonuclei
1.82153623319303	PN0#Myonuclei
3.32383368987999	PN0#Myonuclei
1.7391728066723	PN0#Myonuclei
2.44945308246322	PN0#Myonuclei
1.40534255609059	PN0#Myonuclei
2.0242329918707	PN0#Myonuclei
2.0491530953547	PN0#Myonuclei
2.64175437844846	PN0#Myonuclei
2.14161179298545	PN0#Myonuclei
2.63092419790698	PN0#Myonuclei
2.41164434364662	PN0#Myonuclei
2.42986315757899	PN0#Myonuclei
1.8883604758502	PN0#Myonuclei
1.89505454071788	PN0#Myonuclei
2.17582494467123	PN0#Myonuclei
1.9956901747898	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
1.73801327664054	PN0#Myonuclei
0	PN0#Myonuclei
1.55098020908326	PN0#Myonuclei
2.97312237002494	PN0#Myonuclei
1.99733992184537	PN0#Myonuclei
1.90838276372781	PN0#Myonuclei
0	PN0#Myonuclei
2.26701169951506	PN0#Myonuclei
0	PN0#Myonuclei
3.29800606425187	PN0#Myonuclei
1.32082159431769	PN0#Myonuclei
0	PN0#Myonuclei
