	pig#Liver#Neural	pig#Kidney#Epithelial	pig#Muscle#Neural	pig#Lung#Epithelial	pig#Heart#Immune	pig#Muscle#Immune	pig#Liver#Stromal	pig#Liver#Erythroid	pig#Liver#Immune	pig#Liver#Endothelial	pig#Heart#Epithelial	pig#Kidney#Endothelial	pig#Liver#Epithelial	pig#Muscle#Muscle	pig#Lung#Endothelial	pig#Heart#Neural	pig#Muscle#Stromal	pig#Heart#Muscle	pig#Heart#Endothelial	pig#Lung#Muscle	pig#Kidney#Immune	pig#Kidney#Stromal	pig#Muscle#Endothelial	pig#Lung#Immune	pig#Lung#Stromal	pig#Kidney#Erythroid	pig#Lung#Erythroid	pig#Heart#Stromal
human#Heart#Neural	2.83486118227386	0.622879999102385	2.34298145256037	0.634101703723749	0.702435230691005	0.7207986541229	1.42263133900663	0.228239547663263	0.409528620892401	0.977601200459881	1.57974372262572	0.698548766159382	0.360792114712688	0.851719624948903	1.17492219620701	4.19318229405108	0.971120379657954	1.09675149187897	0.668165019465559	2.36702018662702	0.557635930493782	1.21294673235197	0.692449294135447	0.268841945182024	0.579867484112133	0.752396236597211	0.543810152921492	1.06153176049907
human#Kidney#Erythroid	0.600462308653968	1.51633465937048	1.11846515660943	0.734781698313531	1.1881290870657	1.29432321271726	1.01180201556802	4.31361233831853	0.815932109391927	1.41669525853754	0.656923570855651	0.77306684283869	3.33573702374074	0.787083223019311	1.00239012478749	0.638099216362469	0.264702442667531	0.432218089685585	1.07240501083475	0.502651647749822	1.13273708062523	0.602204704856637	0.720636321269905	0.571248850107272	0.603411045295277	3.42082134038387	2.72577142167308	0.173284481797882
human#Muscle#Erythroid	0.538726758399541	1.34870094764747	0.992662975390131	0.860534038596805	1.6926498567085	1.15178527852762	0.680611361072551	2.56431221727954	1.4389642397702	1.17282789283412	0.980512278292392	1.01835831797449	2.24123032341576	0.577313882042436	0.94890091318845	0.500568796539734	0.944555062417266	0.577990105495742	2.48221051522023	0.940015982086735	1.28908465566291	0.807465778507573	0.865263872020797	0.711417116515405	1.09846166705103	2.34084233772035	2.25880064952913	0.963567518469636
human#Muscle#Immune	0.704761453528593	1.15324525569852	1.18488718636295	0.68895367660094	1.90641355899808	3.54071090009829	1.32807293134145	1.30478592682385	2.50981380844253	1.43702648104985	0.757938952998439	1.0387520196608	0.64380161044752	0.486561742488765	0.739723572979421	1.00028696113197	0.585327360941281	0.287930511264199	0.751795019396084	0.543216601596286	1.77813742167682	0.650876455390303	0.778887901229373	1.17343940079657	0.211022225430373	2.38725140224302	0.739792172620524	0.187155068834186
human#Muscle#Neural	0.907134665458477	1.20566279732953	3.02293607516797	1.00181425461903	1.0168349414047	1.11456004159915	1.18716794295041	1.04636482336805	0.392051251134554	1.3075811313919	1.42489282913493	1.5367143947229	0.700872953766662	0.595769681252507	1.46595366278215	0.948420373903273	0.717501190803859	0.534262279447136	1.43311474085362	0.152654308469162	1.23999445495027	1.57472866981569	1.90232320928572	0.73401048648121	1.13351554026073	0.986663718622931	0.748600993755271	0.785498406565921
human#Heart#Erythroid	0.535574106408598	1.19261610893847	1.30266545015353	0.66861828611066	1.48972918477115	1.80526940391264	0.91758991872791	1.17556726391548	1.95983094931522	1.8523418287243	0.574201698141304	1.13809911113209	1.49360178948027	0.587935993477577	0.996400838696495	0.688742612694381	0.775749356374947	0.577427735613242	1.74340588398454	1.23842587580446	3.18329858037064	0.347431001821213	0.85179645399704	1.80428073405116	0.230588152215478	1.96352010085768	1.86144316761505	0.413956428391371
human#Liver#Erythroid	1.63182565325606	0.532784181328599	1.50269053854643	0.654335648186001	1.52047941794946	1.84154940185256	0.68997515923328	7.99822735472452	0.71519563095496	0.370994862468271	0.560217183231342	0.310570253851035	1.34718384776555	0.628257701750641	0.35768038923429	1.39834887136183	0.756230853884282	0.545672774635134	0.339529677417839	0.729448534384622	0.176771381157542	0.563305790440894	1.27820985404774	0.352570340441619	0.372066513642303	0.988361480634826	0.421118269473518	0.218287753269748
human#Lung#Neural	1.94899502442912	1.1192410766311	0.855615677450144	3.29703394237359	0.672131819102577	0.447600520021375	0.831968977198732	0.267233452199799	0.777276209369801	0.628446328407286	1.38004469696073	1.00170347779781	0.264861168068095	1.0842596868618	1.37136897106443	1.12168317840399	0.554046725623268	0.485710637922629	1.09080284528806	2.47129376725689	0.36566596438568	1.52327406537816	0.56921083741814	1.26550962579764	1.33854607764837	0.709693698597375	1.03917855765916	0.926153278011067
human#Liver#Epithelial	1.64665816664328	4.92217045745029	0.628274572407989	0.793566336052428	0.523549402173383	0.505301330108301	0.478407426676052	0.277399193072794	0.618671858903405	0.29297029065258	0.708780316858887	0.273455848792803	8.11686677087374	0.478648945154792	0.314821557123175	1.24413522617129	0.500787052644632	0.283867247069947	0.452873792572461	0.573612367212362	0.0931604934910131	0.807014900315439	0	0	0.261107757538548	0.891445923452622	0.600702117925148	0
human#Kidney#Immune	0.782630988870683	1.21552703376783	0.676741773863719	0.714398042693523	1.93461525794865	1.23744756519497	1.85200544356416	0.751510556325351	3.58422552727749	1.29550750411405	0.459339449605501	1.32497621757392	0.604021953025441	0.382506677919018	1.06485091292187	0.447073086746976	0.699385595560185	0.542101229110608	0.486771948232559	1.05374628533031	4.52847632190533	0.532079489911254	0.767615393351152	2.04192906133446	0.424126028811126	0.467095693621531	0.645610861236102	0.503670474428014
