	pig#Liver#Neural	pig#Kidney#Epithelial	pig#Muscle#Neural	pig#Lung#Epithelial	pig#Heart#Immune	pig#Muscle#Immune	pig#Liver#Stromal	pig#Liver#Erythroid	pig#Liver#Immune	pig#Liver#Endothelial	pig#Heart#Epithelial	pig#Kidney#Endothelial	pig#Liver#Epithelial	pig#Muscle#Muscle	pig#Lung#Endothelial	pig#Heart#Neural	pig#Muscle#Stromal	pig#Heart#Muscle	pig#Heart#Endothelial	pig#Lung#Muscle	pig#Kidney#Immune	pig#Kidney#Stromal	pig#Muscle#Endothelial	pig#Lung#Immune	pig#Lung#Stromal	pig#Kidney#Erythroid	pig#Lung#Erythroid	pig#Heart#Stromal
human#Heart#Neural	3.22967803010016e-29	0.00120888608572757	4.88174822384133e-11	0.0160917469603221	0.0659268656818047	0.122949870533586	0.0341856733558012	2.42388268748926e-07	0.000498559748314429	1	0.0145266038769383	0.162683379193406	0.000741248300177578	0.577701391982234	0.422288489541657	4.24973774606803e-18	1	0.627805218113598	0.273691949197551	6.92969047892954e-05	0.122472758049609	0.475424926949351	0.437029699442021	0.00996972869816719	0.248810494125987	0.605751805888628	0.222221243459479	0.827087371538951
human#Kidney#Erythroid	0.000171468020062712	0.000312918801960638	0.464713198649808	0.102954046866654	0.269196256546983	0.117568166800585	0.925517012007562	7.20240447437068e-29	0.38003487242574	0.0614722969898993	0.106564780564015	0.325699853729884	4.16457918870169e-14	0.426167881268653	1	0.142837553821549	0.000468478570649645	0.0127285574308543	0.780889512987867	0.086211525339881	0.571679105765204	0.191614219021952	0.433724293517109	0.251752586700737	0.31381405142076	6.22848046759234e-07	0.000127970335975303	0.0443754119841538
human#Muscle#Erythroid	1.38964068061568e-05	0.0144909866928426	1	0.451929193663138	0.000458511117542542	0.448128354722824	0.101800998619536	4.6254581601032e-10	0.0444345359907497	0.395843256201772	1	0.910530274366138	7.79314171855144e-06	0.0620220059185267	1	0.033337993102418	1	0.0972475472251461	4.1822024153031e-05	1	0.307604045042356	0.655123780218838	0.871207919723802	0.503251920953148	0.731506971762439	0.00189636670615878	0.00337276484273064	1
human#Muscle#Immune	0.00918247607892683	0.257682166001575	0.274555114728962	0.0629930486278592	1.3458049570209e-05	6.22713455491092e-20	0.100334365725933	0.143656173150961	6.74595024827426e-09	0.0535509906601759	0.315842252183699	0.820941623379307	0.112214751057268	0.018580660659588	0.332358965640955	1	0.0970716124359424	0.0012429519874888	0.47238048692911	0.139357353812539	0.0177547557483328	0.293399180830107	0.624737703578921	0.611856169497007	0.00904774652946714	0.00161246080282432	0.584377038179885	0.0642360867196801
human#Muscle#Neural	0.465751831418131	0.140625653473361	6.56694528897272e-18	1	0.929381527279266	0.564028248496033	0.330965704623075	0.769573881276865	0.000720946573930555	0.161330638559988	0.0728171619903951	0.029980578372996	0.208778088920182	0.077038274671324	0.0681693471608674	1	0.304492642084313	0.0695121479373	0.147989591391529	0.00054716906519709	0.377060346539576	0.0706917909075776	0.0138227248418843	0.609756027664383	0.605764481103486	1	0.710695132002262	0.819117279674803
human#Heart#Erythroid	2.9049325064126e-05	0.187305135857849	0.0963336614387046	0.0530576687915085	0.013313911829838	0.000454372110580228	0.762724753300658	0.363485026705525	0.000128773572072147	0.00107963025243382	0.0625712376576153	0.554926158289265	0.0574300443753526	0.0867940858074191	1	0.291390747946159	0.504572395157587	0.10946082000212	0.024175357350742	0.442723998893286	1.31228359884825e-07	0.0273960634364189	0.864795642321069	0.0352166607296283	0.0182225191726218	0.0226740137068328	0.0526232449691182	0.333744041972373
human#Liver#Erythroid	2.33449573778481e-05	0.000248799124122593	0.0113102205759596	0.0465932797985659	0.0137001455193386	0.000441821021273065	0.14531652618169	1.10914918946256e-59	0.19433785348752	0.00251322392516786	0.055849952415981	0.0013822620635995	0.179026751923114	0.164302361095914	0.00603738765595064	0.173668988501561	0.491401109136868	0.0979762822415088	0.0200534573841291	0.52674080033705	0.00232357608000438	0.198130776656248	0.384189302283336	0.0687706501321247	0.092885584525568	1	0.166222697593347	0.134275716208268
human#Lung#Neural	4.08802323079112e-09	0.426831893753123	0.466675513875055	9.3475577760787e-19	0.085080563646871	0.00351043833201572	0.46423447401456	3.19066970894606e-05	0.380054307556476	0.104231283339614	0.146263103285211	1	0.000489162588646514	0.702922472055633	0.188225755046964	0.586485750138761	0.125351099303763	0.0519029750665447	0.754955978579053	0.000173580854284872	0.0367136515265014	0.141085092102595	0.287327101188907	0.463484968180368	0.348641156543641	0.560188069554331	0.842610387044944	1
human#Liver#Epithelial	2.53073009086371e-05	1.82279440781882e-51	0.0406760725390566	0.306271024819598	0.00843783462350603	0.0112264015791561	0.00747885297614664	6.08888605082268e-05	0.093498555506257	0.000529419006119561	0.269077819852215	0.00067232622298657	2.44777569746403e-45	0.0373076767376676	0.00459918389778445	0.402190264684177	0.0669655532604328	0.00428006250612958	0.0805319531842828	0.25403443272614	0.000551147657057821	0.740363177398717	0.000431197480139307	0.000619708562921823	0.0358164018369166	1	0.419356856157332	0.0225679120773079
human#Kidney#Immune	0.112109280789822	0.171589355561869	0.0845745769250341	0.148941366673678	7.79791333040902e-05	0.276686182137564	0.000849269576439123	0.317470820618494	4.7047718836575e-15	0.222858425226333	0.0221195045442724	0.244029585468834	0.121728598572436	0.0108337106528263	0.782667568910234	0.0435693047075027	0.380971930896111	0.14151678990714	0.138189977793364	0.866548178090533	4.55580403142298e-12	0.228929863367938	0.709691332196499	0.0189863872658061	0.166689562227243	0.220052361123389	0.530956842451813	0.441293597979406
